,Spanish dataset,,,,,,,English dataset,,,,
#id,name_ES,Human Annotator 1,Human Annotator 2,Agreement_ES,comments,,#id,name_EN,Human Annotator 1,Human Annotator 2,Agreement_EN,comments
0,datos,Data & Information,Data & Information,Data & Information,,,0,info,Synonymous,Synonymous,Synonymous,
1,info,Synonymous,Synonymous,Synonymous,,,1,data,Data & Information,Data & Information,Data & Information,
2,terceros,Third party,Third party,Third party,,,2,details,Undetermined,Attribute or characteristic,Data & Information,
3,dato,Data & Information,Data & Information,Data & Information,,,3,personal,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,
4,terceras,Third party,Third party,Third party,,,4,users,Users,Users,Users,
5,entrevistador,Third party,Third party,Third party,,,5,profiles,Data & Information,Data & Information,Data & Information,
6,facebook,Companies and Organizations,Companies and Organizations,Companies and Organizations,,,6,identifiers,Privacy and security terms,Privacy and security terms,Security mechanisms,
7,usuarios,Users,Users,Users,,,7,personaldata,Data & Information,Data & Information,Data & Information,
8,privacidad,Privacy and security terms,Privacy and security terms,Privacy and security terms,,,8,private,Attribute or characteristic,Privacy and security terms,Attribute or characteristic,
9,consentimiento,Ownership agency,Ownership agency,Ownership agency,,,9,records,Data & Information,Data & Information,"Data Collection, handling and/or storage",
10,autorizacion,Ownership agency,Ownership agency,Ownership agency,,,10,user,Users,Users,Users,
11,fines,Undetermined,Undetermined,Undetermined,,,11,consent,Ownership agency,Ownership agency,Ownership agency,
12,personal,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,,,12,advertisers,Companies and Organizations,Third party,Companies and Organizations,usan datos
13,personales,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,,,13,permission,Ownership agency,Ownership agency,Ownership agency,
14,si,Undetermined,Undetermined,Undetermined,,,14,metadata,Data & Information,Data & Information,Data & Information,
15,ubicacion,Data & Information,Data & Information,Data & Information,,,15,datas,Data & Information,Data & Information,Data & Information,
16,ecomlancer,Companies and Organizations,Companies and Organizations,Third party,,,16,companies,Companies and Organizations,Companies and Organizations,Companies and Organizations,
17,atender,Action,Action,Action,,,17,individuals,Users,Third party,Third party,
18,viatec,Companies and Organizations,Companies and Organizations,Third party,,,18,freely,Reaction or attitude,Reaction or attitude,Reaction or attitude,
19,privada,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,,,19,informations,Synonymous,Data & Information,Synonymous,
20,perfiles,Data & Information,Data & Information,Data & Information,,,20,unlawfully,Privacy & security risks,Privacy & security risks,Privacy & security risks,
21,adecuado,Reaction or attitude,Attribute or characteristic,Attribute or characteristic,,,21,dna,Data & Information,Data & Information,Data & Information,
22,confidencialidad,Privacy and security terms,Privacy and security terms,Privacy and security terms,,,22,apps,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",
23,credenciales,Privacy and security terms,Privacy and security terms,Security mechanisms,,,23,also,Undetermined,Undetermined,Undetermined,
24,privados,Attribute or characteristic,Privacy and security terms,Attribute or characteristic,calza mas ahi,,24,facebook,Companies and Organizations,Companies and Organizations,Companies and Organizations,
25,actividad,Action,Undetermined,Data & Information,la actividad de una persona,,25,opt,Ownership agency,Ownership agency,Ownership agency,
26,contactos,Data & Information,Data & Information,Data & Information,,,26,willingly,Reaction or attitude,Reaction or attitude,Reaction or attitude,
27,mecanismos,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",,,27,fb,Companies and Organizations,Companies and Organizations,Companies and Organizations,
28,identidad,Privacy and security terms,Privacy and security terms,Privacy and security terms,,,28,voluntarily,Reaction or attitude,Reaction or attitude,Reaction or attitude,
29,provocado,Reaction or attitude,Reaction or attitude,Reaction or attitude,,,29,sensitive,Attribute or characteristic,Reaction or attitude,Attribute or characteristic,
30,troyano,Privacy & security risks,Privacy & security risks,Privacy & security risks,,,30,contacts,Data & Information,Data & Information,Data & Information,
31,voragine,Reaction or attitude,Reaction or attitude,Reaction or attitude,,,31,messages,Data & Information,Data & Information,Data & Information,
32,dificultad,Undetermined,Undetermined,Undetermined,,,32,infomation,Synonymous,Synonymous,Synonymous,
33,atencion,Reaction or attitude,Reaction or attitude,Reaction or attitude,,,33,access,Privacy and security terms,Ownership agency,"Data Collection, handling and/or storage",
34,medida,Undetermined,Regulation,Regulation,,,34,collected,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",
35,usan,"Data Collection, handling and/or storage",Action,"Data Collection, handling and/or storage",,,35,services,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",
36,ciberdelincuente,Privacy & security risks,Privacy & security risks,Privacy & security risks,,,36,profile,Data & Information,Data & Information,Data & Information,
37,ilegalmente,Privacy & security risks,Privacy & security risks,Privacy & security risks,,,37,knowingly,Reaction or attitude,Reaction or attitude,Reaction or attitude,
38,aceptar,Ownership agency,Ownership agency,Ownership agency,,,38,databases,Data & Information,Data & Information,"Data Collection, handling and/or storage",
39,telefonicas,Undetermined,Undetermined,Undetermined,,,39,pii,Synonymous,Data & Information,Data & Information,subconjunto
40,compensacion,,,,,,40,customers,,,,
41,cambridge,,,,,,41,preferences,,,,
42,permite,,,,,,42,unauthorized,,,,
43,terminos,,,,,,43,identification,,,,
44,dispuestos,,,,,,44,consumers,,,,
45,inec,,,,,,45,app,,,,
46,ilegal,,,,,,46,identity,,,,
47,contrasenas,,,,,,47,aggregated,,,,
48,impuesto,,,,,,48,purposes,,,,
49,sensible,,,,,,49,identities,,,,
50,confianza,,,,,,50,consented,,,,
51,consumidores,,,,,,51,content,,,,
52,indiscriminada,,,,,,52,exploit,,,,
53,venderlos,,,,,,53,third,,,,
54,hacker,,,,,,54,millions,,,,
55,seguros,,,,,,55,anonymised,,,,
56,peligros,,,,,,56,stored,,,,
57,evitar,,,,,,57,illegaly,,,,
58,opinion,,,,,,58,online,,,,
59,autorizado,,,,,,59,email,,,,
60,limito,,,,,,60,service,,,,
61,anunciantes,,,,,,61,profit,,,,
62,venderla,,,,,,62,parties,,,,
63,incorrectamente,,,,,,63,privacy,,,,
64,permiso,,,,,,64,whether,,,,
65,culpa,,,,,,65,illegally,,,,
66,conscientes,,,,,,66,accounts,,,,
67,conocidos,,,,,,67,platform,,,,
68,espanoles,,,,,,68,use,,,,
69,similar,,,,,,69,individual,,,,
70,confidenciales,,,,,,70,knowledge,,,,
71,tablon,,,,,,71,datasets,,,,
72,estafas,,,,,,72,hackers,,,,
73,legalmente,,,,,,73,emails,,,,
74,permitido,,,,,,74,unknowingly,,,,
75,marca,,,,,,75,database,,,,
76,conciencia,,,,,,76,company,,,,
77,preferencias,,,,,,77,api,,,,
78,masivo,,,,,,78,interests,,,,
79,valiosos,,,,,,79,unknowing,,,,
80,instituciones,,,,,,80,compile,,,,
81,externos,,,,,,81,amounts,,,,
82,test,,,,,,82,potentially,,,,
83,particular,,,,,,83,datamine,,,,
84,frecuencia,,,,,,84,monetise,,,,
85,obtenidos,,,,,,85,ssn,,,,
86,usuario,,,,,,86,passwords,,,,
87,presionar,,,,,,87,browsing,,,,
88,publicitarios,,,,,,88,devices,,,,
89,cuestionario,,,,,,89,tool,,,,
90,aplicacion,,,,,,90,unethically,,,,
91,corporaciones,,,,,,91,sites,,,,
92,reporten,,,,,,92,ability,,,,
93,via,,,,,,93,websites,,,,
94,polemica,,,,,,94,peoples,,,,
95,analytica,,,,,,95,extent,,,,
96,informar,,,,,,96,tracked,,,,
97,caracter,,,,,,97,extensions,,,,
98,ineccr,,,,,,98,platforms,,,,
99,data,,,,,,99,detail,,,,