Spanish dataset,,,,,,,English dataset,,,,,
#id,name_ES,Human Annotator 1,Human Annotator 2,Agreement_ES,comments,,#id,name_EN,Human Annotator 1,Human Annotator 2,Agreement_EN,comments
0,intimidad,Privacy and security terms,Privacy and security terms,Privacy and security terms,,,0,dataprivacy,Privacy and security terms,Ownership agency,Privacy and security terms,
1,datos,Data & Information,Data & Information,Data & Information,,,1,gdpr,Regulation,Regulation,Regulation,
2,confidencialidad,Privacy and security terms,Privacy and security terms,Privacy and security terms,,,2,protection,Privacy and security terms,Privacy and security terms,Privacy and security terms,
3,estafas,Privacy & security risks,Privacy & security risks,Privacy & security risks,,,3,users,Users,Users,Users,
4,datospersonales,Data & Information,Data & Information,Data & Information,,,4,user,Users,Users,Users,
5,privacypolicy,Regulation,Regulation,Regulation,,,5,consumers,Users,Users,Users,
6,seguridaddigital,Privacy and security terms,Ownership agency,Privacy and security terms,,,6,data,Data & Information,Data & Information,Data & Information,
7,protecciondedatos,Privacy and security terms,Ownership agency,Privacy and security terms,,,7,transparency,Privacy and security terms,Privacy and security terms,Privacy and security terms,
8,identidad,Privacy and security terms,Privacy and security terms,Privacy and security terms,,,8,facebook,Companies and Organizations,Companies and Organizations,Companies and Organizations,
9,menores,Users,Third party,Undetermined,falta info,,9,personal,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,
10,facebook,Companies and Organizations,Companies and Organizations,Companies and Organizations,,,10,consent,Ownership agency,Ownership agency,Ownership agency,
11,terceros,Third party,Third party,Third party,,,11,security,Privacy and security terms,Privacy and security terms,Privacy and security terms,
12,informacion,Data & Information,Data & Information,Data & Information,,,12,sharing,Action,Ownership agency,Action,
13,ciberseguridad,Privacy and security terms,Ownership agency,Privacy and security terms,,,13,dataprotection,Ownership agency,Ownership agency,Privacy and security terms,
14,sensibles,Attribute or characteristic,Reaction or attitude,Undetermined,,,14,tos,Regulation,Regulation,Regulation,
15,correos,Data & Information,Data & Information,Data & Information,,,15,consumer,Users,Users,Users,
16,cookies,Data & Information,Data & Information,"Data Collection, handling and/or storage",,,16,collection,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",
17,protegete,Privacy and security terms,Ownership agency,Ownership agency,,,17,opt,Ownership agency,Privacy and security terms,Ownership agency,
18,supone,Reaction or attitude,Undetermined,Reaction or attitude,,,18,trust,Reaction or attitude,Reaction or attitude,Reaction or attitude,
19,cuidatusdatos,Privacy and security terms,Ownership agency,Ownership agency,,,19,privacyrights,Regulation,Regulation,Regulation,
20,gdpready,Regulation,Regulation,Regulation,,,20,companies,Companies and Organizations,Companies and Organizations,Companies and Organizations,
21,seguros,Privacy and security terms,Privacy and security terms,Privacy and security terms,,,21,facebooks,Companies and Organizations,Companies and Organizations,Companies and Organizations,
22,gdpr,Regulation,Regulation,Regulation,,,22,private,Attribute or characteristic,Privacy and security terms,Synonymous,
23,conscientes,Reaction or attitude,Reaction or attitude,Reaction or attitude,,,23,fb,Companies and Organizations,Companies and Organizations,Companies and Organizations,
24,gtibr,Regulation,Undetermined,Undetermined,no estamos seguros,,24,personaldata,Data & Information,Data & Information,Data & Information,
25,grooming,Privacy & security risks,Privacy & security risks,Privacy & security risks,,,25,usage,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",
26,proveedores,Third party,Third party,Third party,,,26,collecting,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",
27,normativas,Regulation,Regulation,Regulation,,,27,regulation,Regulation,Regulation,Regulation,
28,rgpd,Regulation,Regulation,Regulation,,,28,darkpatterns,Privacy & security risks,Privacy & security risks,Privacy & security risks,
29,derechoalolvido,Regulation,Regulation,Regulation,,,29,confidentiality,Privacy and security terms,Privacy and security terms,Privacy and security terms,
30,privacidaddatos,Privacy and security terms,Ownership agency,Privacy and security terms,,,30,advertisers,Companies and Organizations,Third party,Companies and Organizations,
31,legales,Ownership agency,Ownership agency,Ownership agency,,,31,portability,Undetermined,Privacy and security terms,Ownership agency,
32,contrasenas,Privacy and security terms,Privacy and security terms,Security mechanisms,,,32,misuse,Privacy & security risks,Privacy & security risks,Privacy & security risks,
33,databreach,Privacy and security terms,Privacy & security risks,Privacy & security risks,,,33,apps,"Data Collection, handling and/or storage","Data Collection, handling and/or storage","Data Collection, handling and/or storage",
34,habeasdata,Regulation,Regulation,Regulation,,,34,protect,Ownership agency,Privacy and security terms,Ownership agency,
35,relativo,Undetermined,Undetermined,Undetermined,,,35,privacypolicy,Regulation,Regulation,Regulation,
36,cumplimiento,Undetermined,Action,Reaction or attitude,,,36,encryption,Privacy and security terms,Privacy and security terms,Security mechanisms,
37,seguridad,Privacy and security terms,Privacy and security terms,Privacy and security terms,,,37,safety,Privacy and security terms,Privacy and security terms,Privacy and security terms,
38,viatec,Companies and Organizations,Companies and Organizations,Third party,,,38,tracking,Data & Information,Action,"Data Collection, handling and/or storage",por acuerdo
39,badger,Reaction or attitude,Companies and Organizations,Security mechanisms,,,39,overhauls,Undetermined,Privacy and security terms,Reaction or attitude,https://www.theguardian.com/technology/2019/apr/30/facebook-f8-conference-privacy-mark-zuckerberg
40,cumplan,,,,,,40,service,,,,
41,protegidos,,,,,,41,default,,,,
42,prevencion,,,,,,42,platforms,,,,
43,iso,,,,,,43,hippa,,,,
44,lopd,,,,,,44,permissions,,,,
45,cifrado,,,,,,45,facebookdatabreach,,,,
46,procedimientos,,,,,,46,equifax,,,,
47,debidamente,,,,,,47,information,,,,
48,eprivacy,,,,,,48,hipaa,,,,
49,privacidaddedatos,,,,,,49,google,,,,
50,olvido,,,,,,50,ftc,,,,
51,voip,,,,,,51,onlineprivacy,,,,
52,shield,,,,,,52,breach,,,,
53,mantener,,,,,,53,facebookdataleaks,,,,
54,facilitar,,,,,,54,online,,,,
55,ciberalarma,,,,,,55,invasive,,,,
56,tolerancia,,,,,,56,collect,,,,
57,ley,,,,,,57,whatsapp,,,,
58,usuario,,,,,,58,eu,,,,
59,si,,,,,,59,isps,,,,
60,dataprotection,,,,,,60,terms,,,,
61,sensible,,,,,,61,opting,,,,
62,privadas,,,,,,62,apple,,,,
63,smartlive,,,,,,63,customers,,,,
64,derechos,,,,,,64,encrypted,,,,
65,conductas,,,,,,65,fundamental,,,,
66,protegeteenred,,,,,,66,onavo,,,,
67,proteja,,,,,,67,businesses,,,,
68,confidencial,,,,,,68,public,,,,
69,limites,,,,,,69,compliance,,,,
70,norma,,,,,,70,regulations,,,,
71,sancion,,,,,,71,access,,,,
72,tratamiento,,,,,,72,app,,,,
73,localizacion,,,,,,73,intrusive,,,,
74,confidenciales,,,,,,74,breaches,,,,
75,ciberbullying,,,,,,75,changes,,,,
76,emails,,,,,,76,regulators,,,,
77,lssi,,,,,,77,internet,,,,
78,netiqueta,,,,,,78,provisions,,,,
79,publicas,,,,,,79,use,,,,
80,mensajeria,,,,,,80,rights,,,,
81,cibercrimen,,,,,,81,comply,,,,
82,asesorias,,,,,,82,termsofservice,,,,
83,integridad,,,,,,83,deletefacebook,,,,
84,redacte,,,,,,84,privacylaw,,,,
85,mecanismos,,,,,,85,monetise,,,,
86,consumidores,,,,,,86,vpns,,,,
87,contrasena,,,,,,87,developers,,,,
88,habitos,,,,,,88,tech,,,,
89,consentimiento,,,,,,89,ethical,,,,
90,descentralizacion,,,,,,90,sensitive,,,,
91,descentralizado,,,,,,91,harvesting,,,,
92,esencial,,,,,,92,platform,,,,
93,garantizar,,,,,,93,tightening,,,,
94,proteger,,,,,,94,dataleak,,,,
95,usuarios,,,,,,95,collects,,,,
96,privacy,,,,,,96,onlinesecurity,,,,
97,zuckerberg,,,,,,97,protecting,,,,
98,religiosas,,,,,,98,gpdr,,,,
99,manualdeuso,,,,,,99,stricter,,,,